recording_id,species,source,quality_grade,duration_s,sample_rate,license,recordist,date,country,path,sha256
XC148756,ForestOwlet,XC,A,17.321,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC148756 - Forest Owlet - Athene blewitti.mp3,3651cfdd491877feaad403d4d39e5ba63fe0da362ed45c51b5cf5f1012289476
XC148757,ForestOwlet,XC,A,39.206,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC148757 - Forest Owlet - Athene blewitti.mp3,178c0f97ee96a4c29c7750384980d2a8002976c1be347e3f59ad8d62f297a07d
XC148758,ForestOwlet,XC,A,13.719,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC148758 - Forest Owlet - Athene blewitti.mp3,cc1b12a9899847c0fb860149764e54c33c138d7c7363acfec800ca3193e5336b
XC166129,ForestOwlet,XC,A,10.725,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC166129 - Forest Owlet - Athene blewitti.mp3,1151fbd435c6dbf465ed7477a8c4a2f6c2f1e9071970c51f4e5e39b52b7031ec
XC206366,ForestOwlet,XC,A,6.408,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC206366 - Forest Owlet - Athene blewitti.mp3,86364a7a356289963c54da2b362f54061f6c1be6d6b7638b3bc248892fa96332
XC206367,ForestOwlet,XC,A,9.048,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC206367 - Forest Owlet - Athene blewitti.mp3,02876faa0870e11da2cc1a7cc841bde4891e8a2587ec24e1e54bdf2c32b73104
XC206368,ForestOwlet,XC,A,14.544,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC206368 - Forest Owlet - Athene blewitti.mp3,c1dcba391b2d69dfd11fdeb7e496b1fb8ef1a36e127f9e95166bed645af1cc6a
XC409702,ForestOwlet,XC,A,10.238,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC409702 - Forest Owlet - Athene blewitti.mp3,11cc2c8a9e09ea28d89a55bbc9cc330fa6a72a701f6c4811ab4ae5ac53742f6e
XC414032,ForestOwlet,XC,A,22.518,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC414032 - Forest Owlet - Athene blewitti.mp3,69475135694d7d0733c79b0eaf066f17c212f4905475c6b7cbc84925b862b626
XC672075,ForestOwlet,XC,A,32.313,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC672075 - Forest Owlet - Athene blewitti.mp3,217bdb7d6ba225f56d1cdefe0af802f2d72e65c3caf7c08604c3874394b60a13
XC725559,ForestOwlet,XC,A,11.572,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC725559 - Forest Owlet - Athene blewitti.mp3,bb27a773193e7e96e4e12972c3d386eaeafc5d40ad029adf6eb55f894adcac13
XC725560,ForestOwlet,XC,A,37.851,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC725560 - Forest Owlet - Athene blewitti.mp3,24c695166c2f83188d7dcd35bf616457d1ae9db0d8cf930da4abe0c3e08d245f
XC758834,ForestOwlet,XC,A,7.128,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC758834 - Forest Owlet - Athene blewitti.mp3,721a6012213b4468b1dedc49d97d460c9ede9e042863db14474eabc2b9a9e3ea
XC758835,ForestOwlet,XC,A,3.576,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC758835 - Forest Owlet - Athene blewitti.mp3,58c66b91c65404210613599d1a98e1ceb4c6788f626172547789378167cb5818
XC758836,ForestOwlet,XC,A,6.36,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC758836 - Forest Owlet - Athene blewitti.mp3,f3061b291974a6ce9b7c87fecb42003e9f1ee528be70020b393aad383f151636
XC758846,ForestOwlet,XC,A,32.328,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC758846 - Forest Owlet - Athene blewitti.mp3,ac6247b021b635e94d5abdae18baf9f6c36432ebfaaa36a77d45bdda33c1a04b
XC779855,ForestOwlet,XC,A,9.619,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC779855 - Forest Owlet - Athene blewitti.mp3,2941341b4a2b2b6ac8e2436894dba218585b7f17e8ccdcc2a8c82a9795f0f0c5
XC974267,ForestOwlet,XC,A,59.395,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC974267 - Forest Owlet - Athene blewitti.wav,83b589f4cfaa8bfdc75a4b6fab030469291b0e98ed60eb5d51824ebc51a5a097
XC974269,ForestOwlet,XC,A,96.319,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/A/XC974269 - Forest Owlet - Athene blewitti.wav,f5cbd1827fc4d4e1a357ae832701b7293d5c6f38fe6a8d878110d4f9c9ca4139
XC148759,ForestOwlet,XC,B,65.105,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/B/XC148759 - Forest Owlet - Athene blewitti.mp3,c5517d15e60cba15db3ddce1a9b46f0b51b86b8f6e007907ac8db7f3f233bae4
XC314008,ForestOwlet,XC,B,50.129,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/B/XC314008 - Forest Owlet - Athene blewitti.mp3,c645ec204d971b9f2e25824339741a13398cb85cf948d27c692246f0376b9971
XC343773,ForestOwlet,XC,B,36.597,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/B/XC343773 - Forest Owlet - Athene blewitti.mp3,2b13ec64283aeea8f24bf7f01f8caddf6ef1494978669f2793e3286ab8384533
