recording_id,species,window_idx,start_s,end_s,snr_db,kept
XC148756,ForestOwlet,0,0.0,3.0,0.98,False
XC148756,ForestOwlet,1,1.5,4.5,2.44,False
XC148756,ForestOwlet,2,3.0,6.0,4.43,True
XC148756,ForestOwlet,3,4.5,7.5,3.75,True
XC148756,ForestOwlet,4,6.0,9.0,2.89,False
XC148756,ForestOwlet,5,7.5,10.5,3.09,True
XC148756,ForestOwlet,6,9.0,12.0,1.61,False
XC148756,ForestOwlet,7,10.5,13.5,1.43,False
XC148756,ForestOwlet,8,12.0,15.0,2.61,False
XC148756,ForestOwlet,9,13.5,16.5,2.89,False
XC148757,ForestOwlet,0,0.0,3.0,3.74,True
XC148757,ForestOwlet,1,1.5,4.5,4.15,True
XC148757,ForestOwlet,2,3.0,6.0,4.75,True
XC148757,ForestOwlet,3,4.5,7.5,4.56,True
XC148757,ForestOwlet,4,6.0,9.0,3.68,True
XC148757,ForestOwlet,5,7.5,10.5,3.37,True
XC148757,ForestOwlet,6,9.0,12.0,2.96,False
XC148757,ForestOwlet,7,10.5,13.5,2.34,False
XC148757,ForestOwlet,8,12.0,15.0,2.34,False
XC148757,ForestOwlet,9,13.5,16.5,2.41,False
XC148757,ForestOwlet,10,15.0,18.0,2.34,False
XC148757,ForestOwlet,11,16.5,19.5,2.3,False
XC148757,ForestOwlet,12,18.0,21.0,2.19,False
XC148757,ForestOwlet,13,19.5,22.5,2.31,False
XC148757,ForestOwlet,14,21.0,24.0,2.56,False
XC148757,ForestOwlet,15,22.5,25.5,2.7,False
XC148757,ForestOwlet,16,24.0,27.0,2.69,False
XC148757,ForestOwlet,17,25.5,28.5,3.14,True
XC148757,ForestOwlet,18,27.0,30.0,3.52,True
XC148757,ForestOwlet,19,28.5,31.5,4.31,True
XC148757,ForestOwlet,20,30.0,33.0,4.32,True
XC148757,ForestOwlet,21,31.5,34.5,4.18,True
XC148757,ForestOwlet,22,33.0,36.0,4.14,True
XC148757,ForestOwlet,23,34.5,37.5,4.83,True
XC148757,ForestOwlet,24,36.0,39.0,6.82,True
XC148758,ForestOwlet,0,0.0,3.0,3.01,True
XC148758,ForestOwlet,1,1.5,4.5,6.62,True
XC148758,ForestOwlet,2,3.0,6.0,5.98,True
XC148758,ForestOwlet,3,4.5,7.5,4.4,True
XC148758,ForestOwlet,4,6.0,9.0,3.28,True
XC148758,ForestOwlet,5,7.5,10.5,2.76,False
XC148758,ForestOwlet,6,9.0,12.0,2.2,False
XC148758,ForestOwlet,7,10.5,13.5,1.44,False
XC166129,ForestOwlet,0,0.0,3.0,2.53,False
XC166129,ForestOwlet,1,1.5,4.5,2.05,False
XC166129,ForestOwlet,2,3.0,6.0,1.86,False
XC166129,ForestOwlet,3,4.5,7.5,1.71,False
XC166129,ForestOwlet,4,6.0,9.0,5.78,True
XC166129,ForestOwlet,5,7.5,10.5,9.94,True
XC206366,ForestOwlet,0,0.0,3.0,9.17,True
XC206366,ForestOwlet,1,1.5,4.5,10.65,True
XC206366,ForestOwlet,2,3.0,6.0,4.54,True
XC206367,ForestOwlet,0,0.0,3.0,3.48,True
XC206367,ForestOwlet,1,1.5,4.5,6.06,True
XC206367,ForestOwlet,2,3.0,6.0,10.59,True
XC206367,ForestOwlet,3,4.5,7.5,11.13,True
XC206367,ForestOwlet,4,6.0,9.0,3.57,True
XC206368,ForestOwlet,0,0.0,3.0,1.85,False
XC206368,ForestOwlet,1,1.5,4.5,2.33,False
XC206368,ForestOwlet,2,3.0,6.0,5.31,True
XC206368,ForestOwlet,3,4.5,7.5,3.2,True
XC206368,ForestOwlet,4,6.0,9.0,1.07,False
XC206368,ForestOwlet,5,7.5,10.5,0.71,False
XC206368,ForestOwlet,6,9.0,12.0,1.22,False
XC206368,ForestOwlet,7,10.5,13.5,1.5,False
XC409702,ForestOwlet,0,0.0,3.0,1.98,False
XC409702,ForestOwlet,1,1.5,4.5,2.37,True
XC409702,ForestOwlet,2,3.0,6.0,2.12,False
XC409702,ForestOwlet,3,4.5,7.5,1.95,False
XC409702,ForestOwlet,4,6.0,9.0,2.29,False
XC414032,ForestOwlet,0,0.0,3.0,1.71,False
XC414032,ForestOwlet,1,1.5,4.5,16.05,True
XC414032,ForestOwlet,2,3.0,6.0,21.96,True
XC414032,ForestOwlet,3,4.5,7.5,14.24,True
XC414032,ForestOwlet,4,6.0,9.0,2.15,False
XC414032,ForestOwlet,5,7.5,10.5,1.39,False
XC414032,ForestOwlet,6,9.0,12.0,1.8,False
XC414032,ForestOwlet,7,10.5,13.5,1.69,False
XC414032,ForestOwlet,8,12.0,15.0,1.43,False
XC414032,ForestOwlet,9,13.5,16.5,1.08,False
XC414032,ForestOwlet,10,15.0,18.0,2.56,False
XC414032,ForestOwlet,11,16.5,19.5,18.42,True
XC414032,ForestOwlet,12,18.0,21.0,23.31,True
XC672075,ForestOwlet,0,0.0,3.0,25.26,True
XC672075,ForestOwlet,1,1.5,4.5,27.72,True
XC672075,ForestOwlet,2,3.0,6.0,27.04,True
XC672075,ForestOwlet,3,4.5,7.5,26.93,True
XC672075,ForestOwlet,4,6.0,9.0,23.06,True
XC672075,ForestOwlet,5,7.5,10.5,1.26,False
XC672075,ForestOwlet,6,9.0,12.0,1.06,False
XC672075,ForestOwlet,7,10.5,13.5,1.27,False
XC672075,ForestOwlet,8,12.0,15.0,0.87,False
XC672075,ForestOwlet,9,13.5,16.5,1.6,False
XC672075,ForestOwlet,10,15.0,18.0,1.58,False
XC672075,ForestOwlet,11,16.5,19.5,1.08,False
XC672075,ForestOwlet,12,18.0,21.0,1.78,False
XC672075,ForestOwlet,13,19.5,22.5,1.16,False
XC672075,ForestOwlet,14,21.0,24.0,14.43,True
XC672075,ForestOwlet,15,22.5,25.5,27.0,True
XC672075,ForestOwlet,16,24.0,27.0,29.34,True
XC672075,ForestOwlet,17,25.5,28.5,29.71,True
XC672075,ForestOwlet,18,27.0,30.0,31.39,True
XC672075,ForestOwlet,19,28.5,31.5,32.26,True
XC725559,ForestOwlet,0,0.0,3.0,1.44,False
XC725559,ForestOwlet,1,1.5,4.5,3.08,True
XC725559,ForestOwlet,2,3.0,6.0,3.65,True
XC725559,ForestOwlet,3,4.5,7.5,3.12,True
XC725559,ForestOwlet,4,6.0,9.0,2.76,False
XC725559,ForestOwlet,5,7.5,10.5,2.66,False
XC725560,ForestOwlet,0,0.0,3.0,1.25,False
XC725560,ForestOwlet,1,1.5,4.5,4.88,True
XC725560,ForestOwlet,2,3.0,6.0,9.53,True
XC725560,ForestOwlet,3,4.5,7.5,7.63,True
XC725560,ForestOwlet,4,6.0,9.0,4.45,True
XC725560,ForestOwlet,5,7.5,10.5,3.2,True
XC725560,ForestOwlet,6,9.0,12.0,3.5,True
XC725560,ForestOwlet,7,10.5,13.5,4.08,True
XC725560,ForestOwlet,8,12.0,15.0,3.58,True
XC725560,ForestOwlet,9,13.5,16.5,3.17,True
XC725560,ForestOwlet,10,15.0,18.0,2.69,False
XC725560,ForestOwlet,11,16.5,19.5,3.16,True
XC725560,ForestOwlet,12,18.0,21.0,6.47,True
XC725560,ForestOwlet,13,19.5,22.5,2.03,False
XC725560,ForestOwlet,14,21.0,24.0,1.55,False
XC725560,ForestOwlet,15,22.5,25.5,2.81,False
XC725560,ForestOwlet,16,24.0,27.0,2.81,False
XC725560,ForestOwlet,17,25.5,28.5,1.4,False
XC725560,ForestOwlet,18,27.0,30.0,0.48,False
XC725560,ForestOwlet,19,28.5,31.5,0.34,False
XC725560,ForestOwlet,20,30.0,33.0,0.17,False
XC725560,ForestOwlet,21,31.5,34.5,1.36,False
XC725560,ForestOwlet,22,33.0,36.0,13.16,True
XC725560,ForestOwlet,23,34.5,37.5,6.63,True
XC758834,ForestOwlet,0,0.0,3.0,11.53,True
XC758834,ForestOwlet,1,1.5,4.5,12.29,True
XC758834,ForestOwlet,2,3.0,6.0,12.23,True
XC758835,ForestOwlet,0,0.0,3.0,10.27,True
XC758836,ForestOwlet,0,0.0,3.0,14.72,True
XC758836,ForestOwlet,1,1.5,4.5,20.5,True
XC758836,ForestOwlet,2,3.0,6.0,14.26,True
XC758846,ForestOwlet,0,0.0,3.0,12.44,True
XC758846,ForestOwlet,1,1.5,4.5,19.53,True
XC758846,ForestOwlet,2,3.0,6.0,18.29,True
XC758846,ForestOwlet,3,4.5,7.5,13.62,True
XC758846,ForestOwlet,4,6.0,9.0,16.41,True
XC758846,ForestOwlet,5,7.5,10.5,14.82,True
XC758846,ForestOwlet,6,9.0,12.0,3.43,True
XC758846,ForestOwlet,7,10.5,13.5,1.74,False
XC758846,ForestOwlet,8,12.0,15.0,2.44,False
XC758846,ForestOwlet,9,13.5,16.5,2.09,False
XC758846,ForestOwlet,10,15.0,18.0,4.74,True
XC758846,ForestOwlet,11,16.5,19.5,6.22,True
XC758846,ForestOwlet,12,18.0,21.0,9.32,True
XC758846,ForestOwlet,13,19.5,22.5,4.83,True
XC758846,ForestOwlet,14,21.0,24.0,1.56,False
XC758846,ForestOwlet,15,22.5,25.5,3.46,True
XC758846,ForestOwlet,16,24.0,27.0,10.33,True
XC758846,ForestOwlet,17,25.5,28.5,13.38,True
XC758846,ForestOwlet,18,27.0,30.0,11.02,True
XC758846,ForestOwlet,19,28.5,31.5,7.36,True
XC779855,ForestOwlet,0,0.0,3.0,1.5,False
XC779855,ForestOwlet,1,1.5,4.5,6.07,True
XC779855,ForestOwlet,2,3.0,6.0,7.75,True
XC779855,ForestOwlet,3,4.5,7.5,15.45,True
XC779855,ForestOwlet,4,6.0,9.0,19.86,True
XC974267,ForestOwlet,0,0.0,3.0,2.93,False
XC974267,ForestOwlet,1,1.5,4.5,2.04,False
XC974267,ForestOwlet,2,3.0,6.0,3.33,True
XC974267,ForestOwlet,3,4.5,7.5,6.19,True
XC974267,ForestOwlet,4,6.0,9.0,5.76,True
XC974267,ForestOwlet,5,7.5,10.5,5.79,True
XC974267,ForestOwlet,6,9.0,12.0,7.77,True
XC974267,ForestOwlet,7,10.5,13.5,9.67,True
XC974267,ForestOwlet,8,12.0,15.0,10.96,True
XC974267,ForestOwlet,9,13.5,16.5,8.71,True
XC974267,ForestOwlet,10,15.0,18.0,5.95,True
XC974267,ForestOwlet,11,16.5,19.5,4.11,True
XC974267,ForestOwlet,12,18.0,21.0,5.19,True
XC974267,ForestOwlet,13,19.5,22.5,5.33,True
XC974267,ForestOwlet,14,21.0,24.0,4.74,True
XC974267,ForestOwlet,15,22.5,25.5,2.97,False
XC974267,ForestOwlet,16,24.0,27.0,3.62,True
XC974267,ForestOwlet,17,25.5,28.5,6.1,True
XC974267,ForestOwlet,18,27.0,30.0,4.75,True
XC974267,ForestOwlet,19,28.5,31.5,2.65,False
XC974267,ForestOwlet,20,30.0,33.0,2.23,False
XC974267,ForestOwlet,21,31.5,34.5,4.78,True
XC974267,ForestOwlet,22,33.0,36.0,6.74,True
XC974267,ForestOwlet,23,34.5,37.5,5.26,True
XC974267,ForestOwlet,24,36.0,39.0,3.63,True
XC974267,ForestOwlet,25,37.5,40.5,2.75,False
XC974267,ForestOwlet,26,39.0,42.0,2.78,False
XC974267,ForestOwlet,27,40.5,43.5,3.38,True
XC974267,ForestOwlet,28,42.0,45.0,3.97,True
XC974267,ForestOwlet,29,43.5,46.5,5.13,True
XC974267,ForestOwlet,30,45.0,48.0,5.18,True
XC974267,ForestOwlet,31,46.5,49.5,4.89,True
XC974267,ForestOwlet,32,48.0,51.0,5.06,True
XC974267,ForestOwlet,33,49.5,52.5,5.48,True
XC974267,ForestOwlet,34,51.0,54.0,5.67,True
XC974267,ForestOwlet,35,52.5,55.5,5.78,True
XC974267,ForestOwlet,36,54.0,57.0,6.06,True
XC974267,ForestOwlet,37,55.5,58.5,4.91,True
XC974269,ForestOwlet,0,0.0,3.0,1.92,False
XC974269,ForestOwlet,1,1.5,4.5,3.68,True
XC974269,ForestOwlet,2,3.0,6.0,6.18,True
XC974269,ForestOwlet,3,4.5,7.5,5.82,True
XC974269,ForestOwlet,4,6.0,9.0,2.11,False
XC974269,ForestOwlet,5,7.5,10.5,3.4,True
XC974269,ForestOwlet,6,9.0,12.0,1.95,False
XC974269,ForestOwlet,7,10.5,13.5,1.29,False
XC974269,ForestOwlet,8,12.0,15.0,1.83,False
XC974269,ForestOwlet,9,13.5,16.5,2.13,False
XC974269,ForestOwlet,10,15.0,18.0,2.45,False
XC974269,ForestOwlet,11,16.5,19.5,2.42,False
XC974269,ForestOwlet,12,18.0,21.0,3.68,True
XC974269,ForestOwlet,13,19.5,22.5,11.74,True
XC974269,ForestOwlet,14,21.0,24.0,12.8,True
XC974269,ForestOwlet,15,22.5,25.5,3.68,True
